Person,Unit,Role,Start Year,End Year,Highest Rank,Notable Achievement,Notes
Gil Shwed,Unit 8200,Developer,1986,1990,Captain,,"Pre-Check Point"
Shlomo Kramer,Unit 8200,Developer,1986,1990,Captain,,"Pre-Check Point"
Nir Zuk,Unit 8200,Developer,1988,1992,Captain,,
Assaf Rappaport,Unit 8200,Officer,2004,2009,Major,,"Pre-Adallom"
Ami Luttwak,Unit 8200,Officer,2004,2009,Major,,
Roy Reznik,Unit 8200,Officer,2004,2009,Captain,,
Yinon Costica,Unit 8200,Officer,2004,2009,Captain,,
Michael Shaulov,Unit 8200,Officer,2002,2007,Major,,
Ido Ben-Natan,Unit 8200,Officer,2012,2017,Captain,,"Pre-Blockaid"
Nadav Zafrir,Unit 8200,Commander,2005,2009,Brigadier General,"8200 Commander","Highest rank in unit history"
Uri Levine,Unit 8200,Developer,1984,1988,Lieutenant,,
