Sales Stages & Raise Allocations,,,,,,,,,,,,,,,,,,
Investment round,Valuation,Raise Amount,Price Per Token,Discount to TGE,TGE (%),Cliff (M),Vesting (M),TTS Allocation,Total Amount,TGE release ,Initial market cap,Vesting Plan,Monthly Unlock %,Cliff / Total,% of all PM,Monthly release (Tokens),Value released $,
Pre-Seed,"$10,000,000","$400,000",$0.010,-75%,5.00%,4,20,4.00%,"40,000,000","2,000,000.00","$80,000",4.75%,4.750%,0.200%,0.190%,"$80,000.00","$3,200.00",
Seed,"$20,000,000","$2,000,000",$0.020,-50%,5.00%,3,15,10.00%,"100,000,000","5,000,000.00","$200,000",6.33%,6.33%,0.500%,0.633%,"$253,333.33","$10,133.33",
Strategic,"$30,000,000","$600,000",$0.030,-25%,10.00%,1,5,2.00%,"20,000,000","2,000,000.00","$80,000",18.00%,18.00%,0.200%,0.360%,"$144,000.00","$5,760.00",
Private,"$30,000,000","$3,000,000",$0.030,-25%,7.50%,3,15,10.00%,"100,000,000","7,500,000.00","$300,000",6.17%,6.17%,0.750%,0.617%,"$246,666.67","$9,866.67",
Public,"$40,000,000","$800,000",$0.040,0%,15.00%,0,6,2.00%,"20,000,000","3,000,000.00","$120,000",14.17%,14.17%,0.300%,0.283%,"$113,333.33","$4,533.33",
Team,,,,,0.00%,9,27,14.00%,"140,000,000",0.00,$0,3.70%,3.704%,0.000%,0.519%,"$207,407.41","$8,296.30",
Advisors,,,,,0.00%,6,18,4.00%,"40,000,000",0.00,$0,5.56%,5.556%,0.000%,0.222%,"$88,888.89","$3,555.56",
Community Rewards,,,,,0.00%,0.1,6,10.00%,"100,000,000",0.00,$0,16.67%,16.667%,0.000%,1.667%,"$666,666.67","$26,666.67",
Liquidity Supply,,,,,15.00%,0,6,15.00%,"150,000,000","22,500,000.00","$900,000",14.17%,14.167%,2.250%,2.125%,"$850,000.00","$34,000.00",
Marketing Reserves,,,,,0.00%,3,21,5.00%,"50,000,000",0.00,$0,4.76%,4.762%,0.000%,0.238%,"$95,238.10","$3,809.52",
Foundation Reserves,,,,,0.00%,0,36,12.00%,"120,000,000",0.00,$0,2.78%,2.778%,0.000%,0.333%,"$133,333.33","$5,333.33",
Ecosystem Rewards,,,,,0.00%,0,36,12.00%,"120,000,000",0.00,$0,2.78%,2.778%,0.000%,0.333%,"$133,333.33","$5,333.33",
Total,,"$6,800,000",,,,,,100.00%,"1,000,000,000","42,000,000.00","$1,680,000",,,,,"3,012,201.06",,
,,,,,,,,,,,,,,,,,,
Tokenomics,,,,,,,,,,,,,,,,,,
Total Supply,"1,000,000,000",,,,,,,,,,,,,,,,,
Listing Price,$0.040,,,,,,,,,,,,,,,,,
Fully Diluted Market Cap,"$40,000,000",,,,,,,,,,,,,,,,,
Circulating Supply,"42,000,000",,,,,,,,,,,,,,,,,
Circulating Supply %,4.20%,,,,,,,,,,,,,,,,,
IMC,"$1,680,000",,,,,,,,,,,,,,,,,
IMC (Ex.Liquidity),"$780,000",,,,,,,,,,,,,,,,,
Liquidity Available,"$900,000",,,,,,,,,,,,,,,,,
Minimum Liquidity,"$1,170,000",,,,,,,,,,,,,,,,,
Total Raise,"$6,800,000",,,,,,,,,,,,,,,,,
Supply Sold,28.00%,,,,,,,,,,,,,,,,,
